"serial_no","province","district","agro_eco_r","climatic_z","agro_eco_z","terrain","major_soil","anual_r_fmm","gps_location","x","y","season","rice_variety","date_of_maturity","age_das","stage_of_maturity","prediction_on_suseptibility_of_rice_variety","soil_type","rice_ecosystem","irrigation","topography","flooded_y_n","method_of_planting","is_the_farmer_aware_of_mg_before","terrain_adj","infection_status","total_gall_count","infected_plant_count","total_plants","Disease_Incidence","Disease_Severity"
15,"Uva","Moneragala","IL1c","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat","RBL, RBE, LHG, & IBL soils",1300,"7.1215668, 81.2171150",81.217115,7.1215668,"Maha","Bg 450","125",30,"Vegetative","Unconfirmed","Clay","Irrigated","Minor irrigation","Gentle slope","No","Direct seeded","Yes","Rolling, Undulating, Flat","No",3,1,30,3.33333333333333,0.1
16,"North Central","Anuradhapura","DL1b","DRY ZONE","LOW COUNTRY","Undulating","Reddish Brown Earth & Low Humic Gley Soils",900,"8.5473940, 80.2541940",80.254194,8.547394,"Maha","Bg 357","105",105,"Ripening","Unconfirmed","Sand mixed clay","Irrigated","Major irrigation","Flat land","No","Direct seeded","Yes","Undulating","No",35,13,30,43.3333333333333,1.16666666666667
17,"Western","Colombo","WL1b","WET ZONE","LOW COUNTRY","Rolling & Undulating","Red Yellow Podzolic & Low Humic Gley Soils",2800,"6.8154630, 80.0414140",80.041414,6.815463,"Maha","Rathkanda",NA,78,"Reproductive","Unconfirmed","Clay","Rainfed lowland","Rainfed","Gentle slope","No","Direct seeded","No","Rolling & Undulating","No",8,3,30,10,0.266666666666667
18,"Southern","Hambantota","IL1b","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat","RYP, RBL, RBE, LHG & Regosol soils",1100,"6.1688773, 80.7454867",80.7454867,6.1688773,"Maha","At 362","110",54,"Vegetative","Suseptible","Sand mixed clay","Irrigated","Major irrigation","Flat land","No","Direct seeded","No","Rolling, Undulating, Flat","Yes",697,29,30,96.6666666666667,23.2333333333333
19,"North Western","Kurunegala","IL1a","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat","RYP, soilswith strongly molted sub-soil, RYP,LHG,RBL & Regosol",1400,"7.5107920, 79.9900260",79.990026,7.510792,"Maha / Yala","Bg 352","105",55,"Vegetative","Suseptible","Clay","Rainfed lowland","Rainfed","Flat land","Yes","Replanting","No","Rolling, Undulating, Flat","No",60,11,30,36.6666666666667,2
20,"Southern","Hambantota","IL1b","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat","RYP, RBL, RBE, LHG & Regosol soils",1100,"6.0930510, 80.7729430",80.772943,6.093051,"Maha","At 362","110",60,"Reproductive","Suseptible","Clay","Irrigated","Major irrigation","Terraces","No","Direct seeded","No","Rolling, Undulating, Flat","Yes",256,25,30,83.3333333333333,8.53333333333333
21,"North Central","Anuradhapura","DL1b","DRY ZONE","LOW COUNTRY","Undulating","Reddish Brown Earth & Low Humic Gley Soils",900,"8.1945360, 80.3734470",80.373447,8.194536,"Maha","Bg 450","125",75,"Reproductive","Unconfirmed","Clay","Irrigated","Major irrigation","Flat land","No","Direct seeded","No","Undulating","Yes",1346,28,30,93.3333333333333,44.8666666666667
22,"Southern","Matara","WM1a","WET ZONE","MID COUNTRY","Mountanious, steeply dissected, hilly & rolling","Red Yellow Podzolic soils with semi prominent A1 horizon & Lithosol soill",3300,"6.3464640, 80.4988626",80.4988626,6.346464,"Maha","At 362","110",90,"Reproductive","Suseptible","Clay","Rainfed lowland","Rainfed","Gentle slope","No","Direct seeded","Yes","Other","Yes",392,29,30,96.6666666666667,13.0666666666667
22.1,"Sabaragamuwa","Ratnapura","WL1a","WET ZONE","LOW COUNTRY","Rolling, undulating & hilly","Red Yellow Podzolic, Red Yellow Podzolic with semi prominent A1 horizon & Low Humic Gley soils",3200,"
6.742031, 80.224686",80.224686,6.742031,"Yala/Maha","Bg 94/1","105",105,"Ripening","Suseptible","Clay","Rainfed lowland","Rainfed","Flat land","No","Direct seeded",NA,"Rolling, undulating & hilly","Yes",186,23,30,76.6666666666667,6.2
23,"Uva","Badulla","IM1c","INTERMEDIATE ZONE","MID COUNTRY","very steep, hilly & Rolling","RBL, IBL,Mountain Regosol & Lithosol soils",1300,"7.0794670, 81.0087850",81.008785,7.079467,"Maha","At 362","110",105,"Ripening","Suseptible","Sand mixed clay","Irrigated","Minor irrigation","Terraces","No","Direct seeded","No","Other","Yes",220,22,30,73.3333333333333,7.33333333333333
24,"North Western","Kurunegala","WM3b","WET ZONE","MID COUNTRY","Hilly, Rolling,undulating & steep","Reddish Brown Latosolic, Immature Brown Loam, Low Humic Gley soils",1400,"7.4943210, 80.4702920",80.470292,7.494321,"Maha","Bg 379-2","120",90,"Reproductive","Unconfirmed","Clay","Irrigated","Major irrigation","Flat land","No","Direct seeded","No","Other","Yes",256,25,30,83.3333333333333,8.53333333333333
25,"Southern","Hambantota","DL5","DRY ZONE","LOW COUNTRY","Undulating & flat","RBE with high ammount od grawel in sub- soil, LHG & Solodized - solonets soils",650,"6.1278909, 81.0132926",81.0132926,6.1278909,"Maha","At 362","110",60,"Reproductive","Suseptible","Sand mixed clay","Irrigated","Major irrigation","Gentle slope","No","Direct seeded","No","Undulating & flat","Yes",692,30,30,100,23.0666666666667
