"serial_no","province","district","agro_eco_r","climatic_z","agro_eco_z","terrain","major_soil","anual_r_fmm","gps_location","x","y","season","rice_variety","date_of_maturity","age_das","stage_of_maturity","prediction_on_suseptibility_of_rice_variety","soil_type","rice_ecosystem","irrigation","topography","flooded_y_n","method_of_planting","is_the_farmer_aware_of_mg_before","rep_no","gall_count","terrain_adj","infection_status"
76,"Southern","Matara","IL1a","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat","RYP, soilswith strongly molted sub-soil, RYP,LHG,RBL & Regosol",1400,"6.0068420, 80.5174440",80.517444,6.006842,"Maha / Yala","At 362","110",14,"Seedling","Suseptible","Clay","Rainfed lowland","Rainfed","Flat land","Yes","Direct seeded","No",15,1,"Rolling, Undulating, Flat","Yes"
76,"Southern","Matara","IL1a","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat","RYP, soilswith strongly molted sub-soil, RYP,LHG,RBL & Regosol",1400,"6.0068420, 80.5174440",80.517444,6.006842,"Maha / Yala","At 362","110",14,"Seedling","Suseptible","Clay","Rainfed lowland","Rainfed","Flat land","Yes","Direct seeded","No",16,0,"Rolling, Undulating, Flat","No"
76,"Southern","Matara","IL1a","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat","RYP, soilswith strongly molted sub-soil, RYP,LHG,RBL & Regosol",1400,"6.0068420, 80.5174440",80.517444,6.006842,"Maha / Yala","At 362","110",14,"Seedling","Suseptible","Clay","Rainfed lowland","Rainfed","Flat land","Yes","Direct seeded","No",17,0,"Rolling, Undulating, Flat","No"
76,"Southern","Matara","IL1a","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat","RYP, soilswith strongly molted sub-soil, RYP,LHG,RBL & Regosol",1400,"6.0068420, 80.5174440",80.517444,6.006842,"Maha / Yala","At 362","110",14,"Seedling","Suseptible","Clay","Rainfed lowland","Rainfed","Flat land","Yes","Direct seeded","No",18,3,"Rolling, Undulating, Flat","Yes"
76,"Southern","Matara","IL1a","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat","RYP, soilswith strongly molted sub-soil, RYP,LHG,RBL & Regosol",1400,"6.0068420, 80.5174440",80.517444,6.006842,"Maha / Yala","At 362","110",14,"Seedling","Suseptible","Clay","Rainfed lowland","Rainfed","Flat land","Yes","Direct seeded","No",19,0,"Rolling, Undulating, Flat","No"
76,"Southern","Matara","IL1a","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat","RYP, soilswith strongly molted sub-soil, RYP,LHG,RBL & Regosol",1400,"6.0068420, 80.5174440",80.517444,6.006842,"Maha / Yala","At 362","110",14,"Seedling","Suseptible","Clay","Rainfed lowland","Rainfed","Flat land","Yes","Direct seeded","No",20,0,"Rolling, Undulating, Flat","No"
76,"Southern","Matara","IL1a","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat","RYP, soilswith strongly molted sub-soil, RYP,LHG,RBL & Regosol",1400,"6.0068420, 80.5174440",80.517444,6.006842,"Maha / Yala","At 362","110",14,"Seedling","Suseptible","Clay","Rainfed lowland","Rainfed","Flat land","Yes","Direct seeded","No",21,0,"Rolling, Undulating, Flat","No"
76,"Southern","Matara","IL1a","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat","RYP, soilswith strongly molted sub-soil, RYP,LHG,RBL & Regosol",1400,"6.0068420, 80.5174440",80.517444,6.006842,"Maha / Yala","At 362","110",14,"Seedling","Suseptible","Clay","Rainfed lowland","Rainfed","Flat land","Yes","Direct seeded","No",22,0,"Rolling, Undulating, Flat","No"
76,"Southern","Matara","IL1a","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat","RYP, soilswith strongly molted sub-soil, RYP,LHG,RBL & Regosol",1400,"6.0068420, 80.5174440",80.517444,6.006842,"Maha / Yala","At 362","110",14,"Seedling","Suseptible","Clay","Rainfed lowland","Rainfed","Flat land","Yes","Direct seeded","No",23,0,"Rolling, Undulating, Flat","No"
76,"Southern","Matara","IL1a","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat","RYP, soilswith strongly molted sub-soil, RYP,LHG,RBL & Regosol",1400,"6.0068420, 80.5174440",80.517444,6.006842,"Maha / Yala","At 362","110",14,"Seedling","Suseptible","Clay","Rainfed lowland","Rainfed","Flat land","Yes","Direct seeded","No",24,0,"Rolling, Undulating, Flat","No"
76,"Southern","Matara","IL1a","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat","RYP, soilswith strongly molted sub-soil, RYP,LHG,RBL & Regosol",1400,"6.0068420, 80.5174440",80.517444,6.006842,"Maha / Yala","At 362","110",14,"Seedling","Suseptible","Clay","Rainfed lowland","Rainfed","Flat land","Yes","Direct seeded","No",25,0,"Rolling, Undulating, Flat","No"
76,"Southern","Matara","IL1a","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat","RYP, soilswith strongly molted sub-soil, RYP,LHG,RBL & Regosol",1400,"6.0068420, 80.5174440",80.517444,6.006842,"Maha / Yala","At 362","110",14,"Seedling","Suseptible","Clay","Rainfed lowland","Rainfed","Flat land","Yes","Direct seeded","No",26,0,"Rolling, Undulating, Flat","No"
76,"Southern","Matara","IL1a","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat","RYP, soilswith strongly molted sub-soil, RYP,LHG,RBL & Regosol",1400,"6.0068420, 80.5174440",80.517444,6.006842,"Maha / Yala","At 362","110",14,"Seedling","Suseptible","Clay","Rainfed lowland","Rainfed","Flat land","Yes","Direct seeded","No",27,0,"Rolling, Undulating, Flat","No"
76,"Southern","Matara","IL1a","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat","RYP, soilswith strongly molted sub-soil, RYP,LHG,RBL & Regosol",1400,"6.0068420, 80.5174440",80.517444,6.006842,"Maha / Yala","At 362","110",14,"Seedling","Suseptible","Clay","Rainfed lowland","Rainfed","Flat land","Yes","Direct seeded","No",28,0,"Rolling, Undulating, Flat","No"
76,"Southern","Matara","IL1a","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat","RYP, soilswith strongly molted sub-soil, RYP,LHG,RBL & Regosol",1400,"6.0068420, 80.5174440",80.517444,6.006842,"Maha / Yala","At 362","110",14,"Seedling","Suseptible","Clay","Rainfed lowland","Rainfed","Flat land","Yes","Direct seeded","No",29,0,"Rolling, Undulating, Flat","No"
76,"Southern","Matara","IL1a","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat","RYP, soilswith strongly molted sub-soil, RYP,LHG,RBL & Regosol",1400,"6.0068420, 80.5174440",80.517444,6.006842,"Maha / Yala","At 362","110",14,"Seedling","Suseptible","Clay","Rainfed lowland","Rainfed","Flat land","Yes","Direct seeded","No",30,0,"Rolling, Undulating, Flat","No"
1,"Southern","Matara","IL1a","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat","RYP, soilswith strongly molted sub-soil, RYP,LHG,RBL & Regosol",1400,"6.0186066, 80.5020940",80.502094,6.0186066,"Maha","At 362","110",60,"Reproductive","Suseptible","Sand mixed clay","Rainfed lowland","Rainfed","Flat land","Yes","Direct seeded","Yes",1,5,"Rolling, Undulating, Flat","Yes"
1,"Southern","Matara","IL1a","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat","RYP, soilswith strongly molted sub-soil, RYP,LHG,RBL & Regosol",1400,"6.0186066, 80.5020940",80.502094,6.0186066,"Maha","At 362","110",60,"Reproductive","Suseptible","Sand mixed clay","Rainfed lowland","Rainfed","Flat land","Yes","Direct seeded","Yes",2,0,"Rolling, Undulating, Flat","No"
